dataset,instancia,n,W,archivo
podas-BT,RiesgoAlto-IgualBeneficios-1,1,1,instancias/podas-BT/RiesgoAlto-IgualBeneficios-1.txt
podas-BT,RiesgoAlto-IgualBeneficios-2,2,1,instancias/podas-BT/RiesgoAlto-IgualBeneficios-2.txt
podas-BT,RiesgoAlto-IgualBeneficios-3,3,1,instancias/podas-BT/RiesgoAlto-IgualBeneficios-3.txt
podas-BT,RiesgoAlto-IgualBeneficios-4,4,2,instancias/podas-BT/RiesgoAlto-IgualBeneficios-4.txt
podas-BT,RiesgoAlto-IgualBeneficios-5,5,2,instancias/podas-BT/RiesgoAlto-IgualBeneficios-5.txt
podas-BT,RiesgoAlto-IgualBeneficios-6,6,3,instancias/podas-BT/RiesgoAlto-IgualBeneficios-6.txt
podas-BT,RiesgoAlto-IgualBeneficios-7,7,3,instancias/podas-BT/RiesgoAlto-IgualBeneficios-7.txt
podas-BT,RiesgoAlto-IgualBeneficios-8,8,4,instancias/podas-BT/RiesgoAlto-IgualBeneficios-8.txt
podas-BT,RiesgoAlto-IgualBeneficios-9,9,4,instancias/podas-BT/RiesgoAlto-IgualBeneficios-9.txt
podas-BT,RiesgoAlto-IgualBeneficios-10,10,5,instancias/podas-BT/RiesgoAlto-IgualBeneficios-10.txt
podas-BT,RiesgoAlto-IgualBeneficios-11,11,5,instancias/podas-BT/RiesgoAlto-IgualBeneficios-11.txt
podas-BT,RiesgoAlto-IgualBeneficios-12,12,6,instancias/podas-BT/RiesgoAlto-IgualBeneficios-12.txt
podas-BT,RiesgoAlto-IgualBeneficios-13,13,6,instancias/podas-BT/RiesgoAlto-IgualBeneficios-13.txt
podas-BT,RiesgoAlto-IgualBeneficios-14,14,7,instancias/podas-BT/RiesgoAlto-IgualBeneficios-14.txt
podas-BT,RiesgoAlto-IgualBeneficios-15,15,7,instancias/podas-BT/RiesgoAlto-IgualBeneficios-15.txt
podas-BT,RiesgoAlto-IgualBeneficios-16,16,8,instancias/podas-BT/RiesgoAlto-IgualBeneficios-16.txt
podas-BT,RiesgoAlto-IgualBeneficios-17,17,8,instancias/podas-BT/RiesgoAlto-IgualBeneficios-17.txt
podas-BT,RiesgoAlto-IgualBeneficios-18,18,9,instancias/podas-BT/RiesgoAlto-IgualBeneficios-18.txt
podas-BT,RiesgoAlto-IgualBeneficios-19,19,9,instancias/podas-BT/RiesgoAlto-IgualBeneficios-19.txt
podas-BT,RiesgoAlto-IgualBeneficios-20,20,10,instancias/podas-BT/RiesgoAlto-IgualBeneficios-20.txt
podas-BT,RiesgoAlto-IgualBeneficios-21,21,10,instancias/podas-BT/RiesgoAlto-IgualBeneficios-21.txt
podas-BT,RiesgoAlto-IgualBeneficios-22,22,11,instancias/podas-BT/RiesgoAlto-IgualBeneficios-22.txt
podas-BT,RiesgoAlto-IgualBeneficios-23,23,11,instancias/podas-BT/RiesgoAlto-IgualBeneficios-23.txt
podas-BT,RiesgoAlto-IgualBeneficios-24,24,12,instancias/podas-BT/RiesgoAlto-IgualBeneficios-24.txt
podas-BT,RiesgoAlto-IgualBeneficios-25,25,12,instancias/podas-BT/RiesgoAlto-IgualBeneficios-25.txt
podas-BT,RiesgoAlto-IgualBeneficios-26,26,13,instancias/podas-BT/RiesgoAlto-IgualBeneficios-26.txt
podas-BT,RiesgoAlto-IgualBeneficios-27,27,13,instancias/podas-BT/RiesgoAlto-IgualBeneficios-27.txt
podas-BT,RiesgoAlto-IgualBeneficios-28,28,14,instancias/podas-BT/RiesgoAlto-IgualBeneficios-28.txt
podas-BT,RiesgoAlto-IgualBeneficios-29,29,14,instancias/podas-BT/RiesgoAlto-IgualBeneficios-29.txt
podas-BT,RiesgoAlto-IgualBeneficios-30,30,15,instancias/podas-BT/RiesgoAlto-IgualBeneficios-30.txt
podas-BT,RiesgoAlto-IgualBeneficios-31,31,15,instancias/podas-BT/RiesgoAlto-IgualBeneficios-31.txt
podas-BT,RiesgoAlto-IgualBeneficios-32,32,16,instancias/podas-BT/RiesgoAlto-IgualBeneficios-32.txt
podas-BT,RiesgoAlto-IgualBeneficios-33,33,16,instancias/podas-BT/RiesgoAlto-IgualBeneficios-33.txt
podas-BT,RiesgoAlto-IgualBeneficios-34,34,17,instancias/podas-BT/RiesgoAlto-IgualBeneficios-34.txt
podas-BT,RiesgoAlto-IgualBeneficios-35,35,17,instancias/podas-BT/RiesgoAlto-IgualBeneficios-35.txt
podas-BT,RiesgoAlto-IgualBeneficios-36,36,18,instancias/podas-BT/RiesgoAlto-IgualBeneficios-36.txt
podas-BT,RiesgoAlto-IgualBeneficios-37,37,18,instancias/podas-BT/RiesgoAlto-IgualBeneficios-37.txt
podas-BT,RiesgoAlto-IgualBeneficios-38,38,19,instancias/podas-BT/RiesgoAlto-IgualBeneficios-38.txt
podas-BT,RiesgoAlto-IgualBeneficios-39,39,19,instancias/podas-BT/RiesgoAlto-IgualBeneficios-39.txt
podas-BT,RiesgoAlto-IgualBeneficios-40,40,20,instancias/podas-BT/RiesgoAlto-IgualBeneficios-40.txt
podas-BT,RiesgoAlto-IgualBeneficios-41,41,20,instancias/podas-BT/RiesgoAlto-IgualBeneficios-41.txt
podas-BT,RiesgoAlto-IgualBeneficios-42,42,21,instancias/podas-BT/RiesgoAlto-IgualBeneficios-42.txt
podas-BT,RiesgoAlto-IgualBeneficios-43,43,21,instancias/podas-BT/RiesgoAlto-IgualBeneficios-43.txt
podas-BT,RiesgoAlto-IgualBeneficios-44,44,22,instancias/podas-BT/RiesgoAlto-IgualBeneficios-44.txt
podas-BT,RiesgoAlto-IgualBeneficios-45,45,22,instancias/podas-BT/RiesgoAlto-IgualBeneficios-45.txt
podas-BT,RiesgoAlto-IgualBeneficios-46,46,23,instancias/podas-BT/RiesgoAlto-IgualBeneficios-46.txt
podas-BT,RiesgoAlto-IgualBeneficios-47,47,23,instancias/podas-BT/RiesgoAlto-IgualBeneficios-47.txt
podas-BT,RiesgoAlto-IgualBeneficios-48,48,24,instancias/podas-BT/RiesgoAlto-IgualBeneficios-48.txt
podas-BT,RiesgoAlto-IgualBeneficios-49,49,24,instancias/podas-BT/RiesgoAlto-IgualBeneficios-49.txt
podas-BT,RiesgoAlto-IgualBeneficios-50,50,25,instancias/podas-BT/RiesgoAlto-IgualBeneficios-50.txt
podas-BT,RiesgoAlto-IgualBeneficios-51,51,25,instancias/podas-BT/RiesgoAlto-IgualBeneficios-51.txt
podas-BT,RiesgoAlto-IgualBeneficios-52,52,26,instancias/podas-BT/RiesgoAlto-IgualBeneficios-52.txt
podas-BT,RiesgoAlto-IgualBeneficios-53,53,26,instancias/podas-BT/RiesgoAlto-IgualBeneficios-53.txt
podas-BT,RiesgoAlto-IgualBeneficios-54,54,27,instancias/podas-BT/RiesgoAlto-IgualBeneficios-54.txt
podas-BT,RiesgoAlto-IgualBeneficios-55,55,27,instancias/podas-BT/RiesgoAlto-IgualBeneficios-55.txt
podas-BT,RiesgoAlto-IgualBeneficios-56,56,28,instancias/podas-BT/RiesgoAlto-IgualBeneficios-56.txt
podas-BT,RiesgoAlto-IgualBeneficios-57,57,28,instancias/podas-BT/RiesgoAlto-IgualBeneficios-57.txt
podas-BT,RiesgoAlto-IgualBeneficios-58,58,29,instancias/podas-BT/RiesgoAlto-IgualBeneficios-58.txt
podas-BT,RiesgoAlto-IgualBeneficios-59,59,29,instancias/podas-BT/RiesgoAlto-IgualBeneficios-59.txt
podas-BT,RiesgoAlto-IgualBeneficios-60,60,30,instancias/podas-BT/RiesgoAlto-IgualBeneficios-60.txt
podas-BT,RiesgoAlto-IgualBeneficios-61,61,30,instancias/podas-BT/RiesgoAlto-IgualBeneficios-61.txt
podas-BT,RiesgoAlto-IgualBeneficios-62,62,31,instancias/podas-BT/RiesgoAlto-IgualBeneficios-62.txt
podas-BT,RiesgoAlto-IgualBeneficios-63,63,31,instancias/podas-BT/RiesgoAlto-IgualBeneficios-63.txt
podas-BT,RiesgoAlto-IgualBeneficios-64,64,32,instancias/podas-BT/RiesgoAlto-IgualBeneficios-64.txt
podas-BT,RiesgoAlto-IgualBeneficios-65,65,32,instancias/podas-BT/RiesgoAlto-IgualBeneficios-65.txt
podas-BT,RiesgoAlto-IgualBeneficios-66,66,33,instancias/podas-BT/RiesgoAlto-IgualBeneficios-66.txt
podas-BT,RiesgoAlto-IgualBeneficios-67,67,33,instancias/podas-BT/RiesgoAlto-IgualBeneficios-67.txt
podas-BT,RiesgoAlto-IgualBeneficios-68,68,34,instancias/podas-BT/RiesgoAlto-IgualBeneficios-68.txt
podas-BT,RiesgoAlto-IgualBeneficios-69,69,34,instancias/podas-BT/RiesgoAlto-IgualBeneficios-69.txt
podas-BT,RiesgoAlto-IgualBeneficios-70,70,35,instancias/podas-BT/RiesgoAlto-IgualBeneficios-70.txt
podas-BT,RiesgoAlto-IgualBeneficios-71,71,35,instancias/podas-BT/RiesgoAlto-IgualBeneficios-71.txt
podas-BT,RiesgoAlto-IgualBeneficios-72,72,36,instancias/podas-BT/RiesgoAlto-IgualBeneficios-72.txt
podas-BT,RiesgoAlto-IgualBeneficios-73,73,36,instancias/podas-BT/RiesgoAlto-IgualBeneficios-73.txt
podas-BT,RiesgoAlto-IgualBeneficios-74,74,37,instancias/podas-BT/RiesgoAlto-IgualBeneficios-74.txt
podas-BT,RiesgoAlto-IgualBeneficios-75,75,37,instancias/podas-BT/RiesgoAlto-IgualBeneficios-75.txt
podas-BT,RiesgoAlto-IgualBeneficios-76,76,38,instancias/podas-BT/RiesgoAlto-IgualBeneficios-76.txt
podas-BT,RiesgoAlto-IgualBeneficios-77,77,38,instancias/podas-BT/RiesgoAlto-IgualBeneficios-77.txt
podas-BT,RiesgoAlto-IgualBeneficios-78,78,39,instancias/podas-BT/RiesgoAlto-IgualBeneficios-78.txt
podas-BT,RiesgoAlto-IgualBeneficios-79,79,39,instancias/podas-BT/RiesgoAlto-IgualBeneficios-79.txt
podas-BT,RiesgoAlto-IgualBeneficios-80,80,40,instancias/podas-BT/RiesgoAlto-IgualBeneficios-80.txt
podas-BT,RiesgoAlto-IgualBeneficios-81,81,40,instancias/podas-BT/RiesgoAlto-IgualBeneficios-81.txt
podas-BT,RiesgoAlto-IgualBeneficios-82,82,41,instancias/podas-BT/RiesgoAlto-IgualBeneficios-82.txt
podas-BT,RiesgoAlto-IgualBeneficios-83,83,41,instancias/podas-BT/RiesgoAlto-IgualBeneficios-83.txt
podas-BT,RiesgoAlto-IgualBeneficios-84,84,42,instancias/podas-BT/RiesgoAlto-IgualBeneficios-84.txt
podas-BT,RiesgoAlto-IgualBeneficios-85,85,42,instancias/podas-BT/RiesgoAlto-IgualBeneficios-85.txt
podas-BT,RiesgoAlto-IgualBeneficios-86,86,43,instancias/podas-BT/RiesgoAlto-IgualBeneficios-86.txt
podas-BT,RiesgoAlto-IgualBeneficios-87,87,43,instancias/podas-BT/RiesgoAlto-IgualBeneficios-87.txt
podas-BT,RiesgoAlto-IgualBeneficios-88,88,44,instancias/podas-BT/RiesgoAlto-IgualBeneficios-88.txt
podas-BT,RiesgoAlto-IgualBeneficios-89,89,44,instancias/podas-BT/RiesgoAlto-IgualBeneficios-89.txt
podas-BT,RiesgoAlto-IgualBeneficios-90,90,45,instancias/podas-BT/RiesgoAlto-IgualBeneficios-90.txt
podas-BT,RiesgoAlto-IgualBeneficios-91,91,45,instancias/podas-BT/RiesgoAlto-IgualBeneficios-91.txt
podas-BT,RiesgoAlto-IgualBeneficios-92,92,46,instancias/podas-BT/RiesgoAlto-IgualBeneficios-92.txt
podas-BT,RiesgoAlto-IgualBeneficios-93,93,46,instancias/podas-BT/RiesgoAlto-IgualBeneficios-93.txt
podas-BT,RiesgoAlto-IgualBeneficios-94,94,47,instancias/podas-BT/RiesgoAlto-IgualBeneficios-94.txt
podas-BT,RiesgoAlto-IgualBeneficios-95,95,47,instancias/podas-BT/RiesgoAlto-IgualBeneficios-95.txt
podas-BT,RiesgoAlto-IgualBeneficios-96,96,48,instancias/podas-BT/RiesgoAlto-IgualBeneficios-96.txt
podas-BT,RiesgoAlto-IgualBeneficios-97,97,48,instancias/podas-BT/RiesgoAlto-IgualBeneficios-97.txt
podas-BT,RiesgoAlto-IgualBeneficios-98,98,49,instancias/podas-BT/RiesgoAlto-IgualBeneficios-98.txt
podas-BT,RiesgoAlto-IgualBeneficios-99,99,49,instancias/podas-BT/RiesgoAlto-IgualBeneficios-99.txt
podas-BT,RiesgoAlto-IgualBeneficios-100,100,50,instancias/podas-BT/RiesgoAlto-IgualBeneficios-100.txt
