dataset,n,W,metodo,tiempo
podas-BT-RA-BI,1,1,BT,0.002926
podas-BT-RA-BI,1,1,BT-O,0.002545
podas-BT-RA-BI,1,1,BT-F,0.002395
podas-BT-RA-BI,2,1,BT,0.002946
podas-BT-RA-BI,2,1,BT-O,0.002645
podas-BT-RA-BI,2,1,BT-F,0.002625
podas-BT-RA-BI,3,1,BT,0.002604
podas-BT-RA-BI,3,1,BT-O,0.002705
podas-BT-RA-BI,3,1,BT-F,0.002395
podas-BT-RA-BI,4,2,BT,0.002855
podas-BT-RA-BI,4,2,BT-O,0.002615
podas-BT-RA-BI,4,2,BT-F,0.002635
podas-BT-RA-BI,5,2,BT,0.003346
podas-BT-RA-BI,5,2,BT-O,0.001573
podas-BT-RA-BI,5,2,BT-F,0.003296
podas-BT-RA-BI,6,3,BT,0.003085
podas-BT-RA-BI,6,3,BT-O,0.003116
podas-BT-RA-BI,6,3,BT-F,0.002845
podas-BT-RA-BI,7,3,BT,0.002545
podas-BT-RA-BI,7,3,BT-O,0.001603
podas-BT-RA-BI,7,3,BT-F,0.002575
podas-BT-RA-BI,8,4,BT,0.002925
podas-BT-RA-BI,8,4,BT-O,0.002765
podas-BT-RA-BI,8,4,BT-F,0.003437
podas-BT-RA-BI,9,4,BT,0.003386
podas-BT-RA-BI,9,4,BT-O,0.003276
podas-BT-RA-BI,9,4,BT-F,0.004158
podas-BT-RA-BI,10,5,BT,0.003216
podas-BT-RA-BI,10,5,BT-O,0.003086
podas-BT-RA-BI,10,5,BT-F,0.003086
podas-BT-RA-BI,11,5,BT,0.003427
podas-BT-RA-BI,11,5,BT-O,0.003316
podas-BT-RA-BI,11,5,BT-F,0.004108
podas-BT-RA-BI,12,6,BT,0.003446
podas-BT-RA-BI,12,6,BT-O,0.001964
podas-BT-RA-BI,12,6,BT-F,0.003136
podas-BT-RA-BI,13,6,BT,0.003196
podas-BT-RA-BI,13,6,BT-O,0.002986
podas-BT-RA-BI,13,6,BT-F,0.003286
podas-BT-RA-BI,14,7,BT,0.003636
podas-BT-RA-BI,14,7,BT-O,0.003647
podas-BT-RA-BI,14,7,BT-F,0.003136
podas-BT-RA-BI,15,7,BT,0.003576
podas-BT-RA-BI,15,7,BT-O,0.003486
podas-BT-RA-BI,15,7,BT-F,0.003357
podas-BT-RA-BI,16,8,BT,0.004719
podas-BT-RA-BI,16,8,BT-O,0.003927
podas-BT-RA-BI,16,8,BT-F,0.003767
podas-BT-RA-BI,17,8,BT,0.003677
podas-BT-RA-BI,17,8,BT-O,0.004889
podas-BT-RA-BI,17,8,BT-F,0.002705
podas-BT-RA-BI,18,9,BT,0.004729
podas-BT-RA-BI,18,9,BT-O,0.003967
podas-BT-RA-BI,18,9,BT-F,0.004228
podas-BT-RA-BI,19,9,BT,0.00518
podas-BT-RA-BI,19,9,BT-O,0.004238
podas-BT-RA-BI,19,9,BT-F,0.004368
podas-BT-RA-BI,20,10,BT,0.004599
podas-BT-RA-BI,20,10,BT-O,0.004449
podas-BT-RA-BI,20,10,BT-F,0.004829
podas-BT-RA-BI,21,10,BT,0.00507
podas-BT-RA-BI,21,10,BT-O,0.004699
podas-BT-RA-BI,21,10,BT-F,0.00493
podas-BT-RA-BI,22,11,BT,0.006101
podas-BT-RA-BI,22,11,BT-O,0.006152
podas-BT-RA-BI,22,11,BT-F,0.00544
podas-BT-RA-BI,23,11,BT,0.003777
podas-BT-RA-BI,23,11,BT-O,0.006062
podas-BT-RA-BI,23,11,BT-F,0.00507
podas-BT-RA-BI,24,12,BT,0.005089
podas-BT-RA-BI,24,12,BT-O,0.004819
podas-BT-RA-BI,24,12,BT-F,0.00523
podas-BT-RA-BI,25,12,BT,0.006482
