dataset,n,W,metodo,tiempo
densidad-alta,10,5,FB,0.0042
densidad-alta,11,6,FB,0.006
densidad-alta,12,6,FB,0.0142
densidad-alta,13,7,FB,0.0138
densidad-alta,14,7,FB,0.0353
densidad-alta,15,8,FB,0.0332
densidad-alta,16,8,FB,0.0531
densidad-alta,17,9,FB,0.0843
densidad-alta,18,9,FB,0.1883
densidad-alta,19,10,FB,0.3136
densidad-alta,20,10,FB,0.3616
densidad-alta,21,11,FB,0.5763
densidad-alta,22,11,FB,0.9099
densidad-alta,23,12,FB,1.4939
densidad-alta,24,12,FB,2.4479
densidad-alta,25,13,FB,4.0129
densidad-alta,26,13,FB,6.7301
densidad-alta,27,14,FB,10.6615
densidad-alta,28,14,FB,17.3601
densidad-alta,29,15,FB,27.8544
densidad-alta,30,15,FB,43.0335
densidad-alta,31,16,FB,70.1539
densidad-alta,32,16,FB,126.281
densidad-alta,33,17,FB,199.525
densidad-alta,34,17,FB,320.311
densidad-baja,10,27,FB,0.0044
densidad-baja,11,33,FB,0.0061
densidad-baja,12,39,FB,0.0088
densidad-baja,13,45,FB,0.0137
densidad-baja,14,52,FB,0.0217
densidad-baja,15,60,FB,0.0338
densidad-baja,16,68,FB,0.0545
densidad-baja,17,76,FB,0.0853
densidad-baja,18,85,FB,0.1359
densidad-baja,19,95,FB,0.2305
densidad-baja,20,105,FB,0.3563
densidad-baja,21,115,FB,0.632
densidad-baja,22,126,FB,0.9985
densidad-baja,23,138,FB,1.5159
densidad-baja,24,150,FB,2.5628
densidad-baja,25,162,FB,4.0015
densidad-baja,26,175,FB,6.3782
densidad-baja,27,189,FB,10.6516
densidad-baja,28,203,FB,21.653
densidad-baja,29,217,FB,28.4219
densidad-baja,30,232,FB,45.8441
densidad-baja,31,248,FB,75.7863
densidad-baja,32,264,FB,123.623
densidad-baja,33,280,FB,204.153
densidad-baja,34,297,FB,317.171
mejor-caso-bt,0,1000,BT,0.0013
mejor-caso-bt,1,1000,BT,0.0016
mejor-caso-bt,2,1000,BT,0.0019
mejor-caso-bt,3,1000,BT,0.0022
mejor-caso-bt,4,1000,BT,0.0024
mejor-caso-bt,5,1000,BT,0.0027
mejor-caso-bt,6,1000,BT,0.0031
mejor-caso-bt,7,1000,BT,0.005
mejor-caso-bt,8,1000,BT,0.0034
mejor-caso-bt,9,1000,BT,0.0038
mejor-caso-bt,10,1000,BT,0.0041
mejor-caso-bt,11,1000,BT,0.0043
mejor-caso-bt,12,1000,BT,0.0045
mejor-caso-bt,13,1000,BT,0.0048
mejor-caso-bt,14,1000,BT,0.0052
mejor-caso-bt,15,1000,BT,0.0054
mejor-caso-bt,16,1000,BT,0.006
mejor-caso-bt,17,1000,BT,0.0061
mejor-caso-bt,18,1000,BT,0.0062
mejor-caso-bt,19,1000,BT,0.0073
mejor-caso-bt,20,1000,BT,0.0068
mejor-caso-bt,21,1000,BT,0.007
mejor-caso-bt,22,1000,BT,0.0073
mejor-caso-bt,23,1000,BT,0.0076
mejor-caso-bt,24,1000,BT,0.013
mejor-caso-bt,25,1000,BT,0.0135
mejor-caso-bt,26,1000,BT,0.0137
mejor-caso-bt,27,1000,BT,0.0189
mejor-caso-bt,28,1000,BT,0.0184
mejor-caso-bt,29,1000,BT,0.023
mejor-caso-bt,30,1000,BT,0.0229
mejor-caso-bt,31,1000,BT,0.0189
mejor-caso-bt,32,1000,BT,0.0196
mejor-caso-bt,33,1000,BT,0.021
mejor-caso-bt,34,1000,BT,0.0225
mejor-caso-bt,35,1000,BT,0.0253
mejor-caso-bt,36,1000,BT,0.024
mejor-caso-bt,37,1000,BT,0.0242
mejor-caso-bt,38,1000,BT,0.0248
mejor-caso-bt,39,1000,BT,0.028
mejor-caso-bt,40,1000,BT,0.0269
mejor-caso-bt,41,1000,BT,0.0277
mejor-caso-bt,42,1000,BT,0.0316
mejor-caso-bt,43,1000,BT,0.042
mejor-caso-bt,44,1000,BT,0.0323
mejor-caso-bt,45,1000,BT,0.0338
mejor-caso-bt,46,1000,BT,0.0333
mejor-caso-bt,47,1000,BT,0.0336
mejor-caso-bt,48,1000,BT,0.0355
mejor-caso-bt,49,1000,BT,0.0359
mejor-caso-bt,50,1000,BT,0.0371
mejor-caso-bt,51,1000,BT,0.0379
mejor-caso-bt,52,1000,BT,0.037
mejor-caso-bt,53,1000,BT,0.0375
mejor-caso-bt,54,1000,BT,0.0409
mejor-caso-bt,55,1000,BT,0.0426
mejor-caso-bt,56,1000,BT,0.0424
mejor-caso-bt,57,1000,BT,0.0438
mejor-caso-bt,58,1000,BT,0.0432
mejor-caso-bt,59,1000,BT,0.0467
mejor-caso-bt,60,1000,BT,0.0469
mejor-caso-bt,61,1000,BT,0.0486
mejor-caso-bt,62,1000,BT,0.0663
mejor-caso-bt,63,1000,BT,0.0495
mejor-caso-bt,64,1000,BT,0.0532
mejor-caso-bt,65,1000,BT,0.0543
mejor-caso-bt,66,1000,BT,0.0526
mejor-caso-bt,67,1000,BT,0.0725
mejor-caso-bt,68,1000,BT,0.0561
mejor-caso-bt,69,1000,BT,0.0556
mejor-caso-bt,70,1000,BT,0.0591
mejor-caso-bt,71,1000,BT,0.0718
mejor-caso-bt,72,1000,BT,0.0581
mejor-caso-bt,73,1000,BT,0.057
mejor-caso-bt,74,1000,BT,0.0581
mejor-caso-bt,75,1000,BT,0.0618
mejor-caso-bt,76,1000,BT,0.0846
mejor-caso-bt,77,1000,BT,0.0756
mejor-caso-bt,78,1000,BT,0.0866
mejor-caso-bt,79,1000,BT,0.0646
mejor-caso-bt,80,1000,BT,0.0661
mejor-caso-bt,81,1000,BT,0.0655
mejor-caso-bt,82,1000,BT,0.067
mejor-caso-bt,83,1000,BT,0.0658
mejor-caso-bt,84,1000,BT,0.0659
mejor-caso-bt,85,1000,BT,0.0695
mejor-caso-bt,86,1000,BT,0.0731
mejor-caso-bt,87,1000,BT,0.0744
mejor-caso-bt,88,1000,BT,0.0748
mejor-caso-bt,89,1000,BT,0.0738
mejor-caso-bt,90,1000,BT,0.0832
mejor-caso-bt,91,1000,BT,0.077
mejor-caso-bt,92,1000,BT,0.0798
mejor-caso-bt,93,1000,BT,0.0777
mejor-caso-bt,94,1000,BT,0.0794
mejor-caso-bt,95,1000,BT,0.0815
mejor-caso-bt,96,1000,BT,0.0821
mejor-caso-bt,97,1000,BT,0.0954
mejor-caso-bt,98,1000,BT,0.0835
mejor-caso-bt,99,1000,BT,0.0856
mejor-caso-bt,100,1000,BT,0.0843
mejor-caso-bt,101,1000,BT,0.0855
mejor-caso-bt,102,1000,BT,0.084
mejor-caso-bt,103,1000,BT,0.0843
mejor-caso-bt,104,1000,BT,0.0855
mejor-caso-bt,105,1000,BT,0.1099
mejor-caso-bt,106,1000,BT,0.0917
mejor-caso-bt,107,1000,BT,0.0899
mejor-caso-bt,108,1000,BT,0.0885
mejor-caso-bt,109,1000,BT,0.0899
mejor-caso-bt,110,1000,BT,0.0892
mejor-caso-bt,111,1000,BT,0.0982
mejor-caso-bt,112,1000,BT,0.0988
mejor-caso-bt,113,1000,BT,0.0994
mejor-caso-bt,114,1000,BT,0.0979
mejor-caso-bt,115,1000,BT,0.0991
mejor-caso-bt,116,1000,BT,0.1038
mejor-caso-bt,117,1000,BT,0.1019
